from, to, relationship
uvdl, 500, 1
uvdl, CDU,2
lk, 500, 1
lk, SPD, 2
nr, 500, 1
nr, CDU, 2
sw, 500, 1
sw, LIN, 2
cs, 500, 1
cs, OHP, 2
cl, 501, 1
cl, FDP, 2
nr, 501, 1
nr, CDU, 2
ks, 501, 1
ks, OHP, 2
lm, 501, 1
lm, OHP, 2
kd, 501, 1
kd, OHP, 2
el, 501, 1
el, ZZS, 2
ab, 502, 1
ab, GRU, 2
ft, 502, 1
ft, PDA, 2
am, 502, 1
am, OHP, 2
agl, 502, 1
agl, FDP, 2
eg, 502, 1
eg, OHP, 2
rh, 503, 1
rh, GRU, 2
lk, 503, 1
lk, SPD, 2
cm, 503, 1
cm, OHP, 2
kp, 503, 1
kp, OHP, 2
rk, 503, 1
rk, CDU, 2
